鲜花,香蜜湖,香蜜湖,
花点时间花艺（香蜜湖第七分店）,福田区香蜜湖侨香路香蜜湖豪庭105号,0755-82777310,https://p0.meituan.net/440.0/dpmerchantalbum/b5e36ac575e0507f66385e04c2e9f2b31936720.jpg
丽石鲜花（美宝莲店）,福田区香梅北路2001号,400-690-7520/18676377558,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
情怀花舍,福田区香蜜湖侨香路香梅北地铁站d出口,13510023901,https://p1.meituan.net/440.0/dpmerchantalbum/0e4a2af7102375f68b74965065edf6597349696.jpg
兰景丽园鲜花（特发小区店）,福田区香梅北路特发小区13栋特发幼儿园旁,400-043-0370,https://p1.meituan.net/440.0/dpdeal/d5691e2d7b1f3dc6d9239e6a0b8c442d77219.jpg
花之爱鲜花,福田区香密湖花卉市场新天国际名苑旁,null,https://p1.meituan.net/440.0/dpdeal/e4545f97605469f025da623069d8b46667020.jpg
丽石鲜花（福到来店）,福田区四号路3号旁,400-690-7520/18676377558,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
丽石鲜花（香梅店）,福田区香梅路1061号中投国际商务中心B1栋1楼,400-690-7520,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
鲜花,梅林,梅林,
爱尚礼鲜花（梅林店）,福田区环林街2号绿化大厦7楼,0755-82918100,https://p0.meituan.net/440.0/dpmerchantalbum/fdeb7b0e65741b5630c03c00729ead661782641.jpg
花语花意Flower（上梅林店）,福田区梅林路48号,18028595368,https://p1.meituan.net/440.0/deal/__49532727__7697721.jpg
今喜花屿（上梅林店）,福田区梅林路教堂对面上梅林文体公园大门旁,13164768943,https://p1.meituan.net/440.0/deal/866d848e070dfe57d7071780d2249a1f83271.jpg
浪漫花屋鲜花店（梅林店）,福田区上梅林新村23号,15817355705,https://p1.meituan.net/440.0/merchantpic/48cf55233f3395344f2929333c877c83360573.jpg
花点心思花艺（上梅林店）,福田区中康路卓悦汇购物中心1009号,0755-88605075,https://p0.meituan.net/440.0/dpmerchantalbum/d6fd493d5371008fc3a3aa753e13d92385331.jpg
新原野花艺（卓悦汇店）,福田区中康路126号卓悦汇购物中心B1,13312892487,https://p0.meituan.net/440.0/dpmerchantalbum/35d6eb25e828a720ae1fc9bf950f29b7318433.jpg
兰亭 Flower（梅林店）,福田区中康路卓悦汇购物中心L1-113档,13631517883,https://p0.meituan.net/440.0/merchantpic/aba2151fb84798b6c8aacb638d9daad0207847.jpg
大行花开（下梅林店）,福田区下梅林农批花卉街90号,400-092-5186/13922861815,https://p0.meituan.net/440.0/deal/208716f29b8bb85d2beea84afe0b1fe8313343.jpg
天马座花艺（梅林店）,福田区梅林路148-3号,400-865-8182,https://p1.meituan.net/440.0/deal/9114c404cece9f705327f58c810a3cf197261.jpg
丽石鲜花（文体公园店）,福田区梅华路与梅丽路交叉口梅林文体公园附近,400-690-7520/18676377558,https://p0.meituan.net/440.0/deal/cd4809e8b19794612f2fd1726a275130261281.jpg
春暖花开鲜花店（梅林店）,福田区梅华路38号百兴苑,13922899547,https://p0.meituan.net/440.0/dpmerchantalbum/e77941dcf31f5ffa4240cee0e6933343117754.jpg
田园花语（梅华店）,福田区梅华路天虹商场二楼（上梅林地铁站C出口）,0755-82774400/18098980567,https://p1.meituan.net/440.0/deal/4bcf402d92d7805340f5b467c1449ce4265880.jpg
梵茜花艺（卓悦汇店）,福田区梅康路理想时代大厦12楼1202,18682105967/18684532660,https://p0.meituan.net/440.0/dpmerchantalbum/70d782cf79c64443545ef49cac6411f1106390.jpg
牡丹鲜花旗舰店（牡丹鲜花135店）,福田区中康路华茂苑东门17号铺面,400-033-9596,https://p1.meituan.net/440.0/deal/050477faebb785b4a8e3124f314e6611465369.jpg
澜馨花语（咏山名苑店）,福田区龙尾路170号咏山名苑1楼2号商铺,13480177725,https://p0.meituan.net/440.0/deal/0535bbba74b2c142718ccd3bbae098fe212216.jpg
花悦flower（上梅林店）,福田区上梅林中康路卓越汇附近,15818669479,https://p0.meituan.net/440.0/merchantpic/e730326d41887cad6894f1a39c98f62c938564.jpg
朵恋鲜花（下梅林店）,福田区梅林路159号金梅花园,18927434412,https://p0.meituan.net/440.0/dpmerchantalbum/96735de560fa21efaa23291e8e37cce1155391.jpg
Huahua100鲜花店（上梅林店）,福田区上梅林中康路南华茂苑东门6号商铺,4007285952,https://p1.meituan.net/440.0/poi/a89d4e7466081d72ba389e1aa325599a78348.jpg
HELLO埃洛花艺工作室,福田区梅林街道林丰路理想公馆2020,13640970949,https://p0.meituan.net/440.0/dpmerchantalbum/6e2d388659d1b13e95bd5e051bfda658154563.jpg
花梦谷鲜花（上梅林店）,福田区中康路128号（上梅林地铁站D口200米）,13544131960,https://p0.meituan.net/440.0/merchantpic/27c97e600bad1db0fcc9bd5ea7d6f79e69951.jpg
花之恩鲜花店（中康路店）,福田区中康路18西门号,13632880897/18598260036,https://p1.meituan.net/440.0/dpmerchantalbum/e2a4a06b58e8918af3618738611ba711189346.jpg
倾心FLORA（梅林店）,福田区中康路卓悦汇购物中心负一楼（近上梅林地铁站）,18565722028,https://p0.meituan.net/440.0/merchantpic/3bf463b8a181bc03721d4583ff395635607404.jpg
半夏花开（卓悦汇店）,福田区上梅林中康路137号卓悦汇购物,0755-23894129,https://p0.meituan.net/440.0/dpmerchantalbum/fe2e3e747382696c821724c96675820e9199901.jpg
时光花艺（上梅林店）,福田区梅林路怡景大厦502室,14715874358,https://p0.meituan.net/440.0/dpmerchantalbum/3155d60bc9d64fd43b9f1098ea0c544e67259.jpg
兰景丽园鲜花,福田区上梅林中康路雕塑家园,400-043-0370,https://p1.meituan.net/440.0/poi/dc22c5b17614c389edcda6afb1794fea83968.jpg
思丽卡花艺（梅林店）,福田区梅山街9号,0755-25326149/13632794653,https://p1.meituan.net/440.0/deal/a1f68538813a803c92afc180e55dbecc101995.jpg
简爱花语鲜花店（上梅林店）,福田区中康路126号,18098961230,https://p1.meituan.net/440.0/deal/__49532727__7697721.jpg
万美苑鲜花,福田区上梅林卓越汇二楼205,null,https://p1.meituan.net/440.0/dpmerchantalbum/de6c17d1a7efd7d962d32a973573c5ba1616644.png
檀薇初品鲜花（梅林一村店）,福田区梅丽路梅林一村5区商业城210号,18566771060/13686441206,https://p0.meituan.net/440.0/deal/415175a9e5805b6d0a7774a0270c4c0e192678.jpg
柠檬花艺园林工程有限公司,福田区梅林路46号西湖天欣大厦1楼南门柠檬花舍（文和友、813、鸟剑居酒屋、牛客隆）,13332932962,https://p0.meituan.net/440.0/merchantpic/61e9ebc41f8fedf73e9fe0cb811d3ae1520087.jpg
绿植先生（福田店）,福田区上梅林梅林路59号,13145206799,https://p1.meituan.net/440.0/dpdeal/e24521332c959ee5d78f16d186796c47206573.jpg
花之爱鲜花,福田区中康路上梅林市场华茂苑一期15号,null,https://p1.meituan.net/440.0/dpdeal/16c9eef952aead297fb853696bff96a2182790.jpg
